Qty,Device,Parts,Description,MANUFACTURER,MPN,VENDOR,VLINK,VPN,
2,0.1UF-C0603C104K5RACTU,C1/C5,CAP CER 0.1UF 50V X7R 0603,Kemet,C0603C104K5RACTU,Digikey,https://www.digikey.com/product-detail/en/kemet/C0603C104K5RACTU/399-5089-1-ND/1465623, 399-5089-1-ND,
1,100OHM-RC0603JR-07100RL,R1,RES SMD 100 OHM 5% 1/10W 0603,Yageo,RC0603JR-07100RL,Digikey,https://www.digikey.com/product-detail/en/yageo/RC0603JR-07100RL/311-100GRCT-ND/729644,311-100GRCT-ND,
2,10K-ERJ-3EKF1002V,R22/R23,RES SMD 10K OHM 1% 1/10W 0603,Panasonic,ERJ-3EKF1002V,Digikey,https://www.digikey.com/product-detail/en/panasonic-electronic-components/ERJ-3EKF1002V/P10.0KHCT-ND/198102,P10.0KHCT-ND,
2,10UF-GMK212BBJ106KG-T,C3/C7,CAP CER 10UF 35V X5R 0805,Taiyo Yuden,GMK212BBJ106KG-T,Digikey,https://www.digikey.com/product-detail/en/taiyo-yuden/GMK212BBJ106KG-T/587-4893-1-ND/6563736,587-4893-1-ND,
2,120OHM-RC0603FR-07120RL,R17/R21,RES SMD 120 OHM 1% 1/10W 0603,Yageo,RC0603FR-07120RL,Digikey,https://www.digikey.com/product-detail/en/yageo/RC0603FR-07120RL/311-120HRCT-ND/729867,311-120HRCT-ND ,
1,1K-ERJ-PB3D1001V,R24,RES SMD 1K OHM 0.5% 1/5W 0603,Panasonic,P20283CT-ND,Digikey,https://www.digikey.com/product-detail/en/panasonic-electronic-components/ERJ-PB3D1001V/P20283CT-ND/6214538, P20283CT-ND,
2,4.7UF-CL21A475KBQNNNE,C2/C4,CAP CER 4.7UF 50V X5R 0805,Samsung,CL21A475KBQNNNE,Digikey,https://www.digikey.com/product-detail/en/samsung-electro-mechanics/CL21A475KBQNNNE/1276-1248-1-ND/3889334, 1276-1248-1-ND,
4,600OHM-RC0603FR-07604RL,R16/R18/R19/R20,RES SMD 604 OHM 1% 1/10W 0603,Yageo,RC0603FR-07604RL,Digikey,https://www.digikey.com/product-detail/en/yageo/RC0603FR-07604RL/311-604HRCT-ND/730276,311-604HRCT-ND,
2,APT1608CGCK,D1/D2,LED GREEN CLEAR 0603 SMD,Kingbright,APT1608CGCK,Digikey,https://www.digikey.com/product-detail/en/kingbright/APT1608CGCK/754-1116-1-ND/1747833#,754-1116-1-ND,
1,BARREL-JACK-PJ-036AH-SMT-TR,J3,CONN PWR JACK 2X5.5MM SOLDER,CUI Inc.,PJ-036AH-SMT-TR,Digikey,https://www.digikey.com/product-detail/en/cui-inc/PJ-036AH-SMT-TR/CP-036AHPJCT-ND/1530994,CP-036AHPJCT-ND,
1,PCA9615DPJ,U4,IC REDRIVER I2C 2CH 10TSSOP,NXP USA Inc.,PCA9615DPJ ,Digikey,https://www.digikey.com/product-detail/en/nxp-usa-inc/PCA9615DPJ/568-11484-1-ND/4864508,568-11484-1-ND,
1,PHOTONH-NO-BOTTOM-LABEL,U1,Tiny Wi-Fi dev board w/cloud backend,Particle,PHOTONH,Particle,https://store.particle.io/products/photon,Particle,
1,R-78E5.0-1.0,U3,DC/DC CONVERTER 5V 5W,Recom Power,R-78E5.0-1.0,Digikey,https://www.digikey.com/product-detail/en/recom-power/R-78E5.0-1.0/945-2201-ND/4930585,945-2201-ND ,
1,RJ45-DI2C-USB-54602-908LFPTH,J1,CONN MOD JACK 8P8C R/A UNSHLD,Amphenol FCI,54602-908LF,Digikey,https://www.digikey.com/product-detail/en/amphenol-fci/54602-908LF/609-1046-ND/1001360,609-1046-ND,
1,SMAJ26A-13-F,D3,TVS DIODE 26VWM 42.1VC SMA,Diodes Incorporated,SMAJ26A-13-F,Digikey,https://www.digikey.com/product-detail/en/diodes-incorporated/SMAJ26A-13-F/SMAJ26A-FDICT-ND/806583,SMAJ26A-FDICT-ND,
1,SSQ5,F1,FUSE BRD MNT 5A 125VAC/VDC 2SMD,Bel Fuse Inc.,SSQ5,Digikey,https://www.digikey.com/product-detail/en/bel-fuse-inc/SSQ-5/507-1053-1-ND/615005,507-1053-1-ND,
