Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	dGMaxMin	CriteriaType	CriteriaVarType	CriteriaPercentage
1	1	0	0.0223144317	101325	101325	101325	101325	0	0	0	0.0145403	0	0	3
2	2	0	0.0446288635	101325	101325	101325	101325	4.26080078e-005	0	0	0.00779644	0	0	3
3	2	0	0.0669432952	101325	101325	101325	101325	6.04137167e-005	0	0	0.00763783	0	0	3
4	2	0	0.089257727	101325	101325	101325	101325	7.4509735e-005	0	0	0.00649391	0	0	3
5	3	0	0.111572159	101325	101325	101325	101325	8.09669145e-005	0	0	0.00643116	0	0	3
6	3	0	0.13388659	101325	101325	101325	101325	8.64494359e-005	0	0	0.00549599	0	0	3
7	3	0	0.156201022	101325	101325	101325	101325	8.95707926e-005	0	0	0.0054613	0	0	3
8	4	0	0.178515454	101325	101325	101325	101325	9.21121391e-005	0	0	0.00517746	0	0	3
9	4	0	0.200829886	101325	101325	101325	101325	9.37420118e-005	0	0	0.0052276	0	0	3
10	4	0	0.223144317	101325	101325	101325	101325	9.52189439e-005	0	0	0.00500235	0	0	3
11	5	0	0.245458749	101325	101325	101325	101325	9.62716731e-005	0	0	0.00507405	0	0	3
12	5	0	0.267773181	101325	101325	101325	101325	9.72652924e-005	0	0	0.00497095	0	0	3
13	5	0	0.290087613	101325	101325	101325	101325	9.80528421e-005	0	0	0.00500561	0	0	3
14	6	0	0.312402044	101325	101325	101325	101325	9.87925741e-005	0	0	0.00495482	0	0	3
15	6	0	0.334716476	101325	101325	101325	101325	9.94091388e-005	0	0	0.00496585	0	0	3
16	6	0	0.357030908	101325	101325	101325	101325	9.99656186e-005	0	0	0.00494006	0	0	3
17	7	0	0.37934534	101325	101325	101325	101325	0.000100440651	0	0	0.00494942	0	0	3
18	7	0	0.401659771	101325	101325	101325	101325	0.00010086676	0	0	0.00493529	0	0	3
19	7	0	0.423974203	101325	101325	101325	101325	0.000101242578	0	0	0.00493851	0	0	3
20	8	0	0.446288635	101325	101325	101325	101325	0.000101581652	0	0	0.00493533	0	0	3
21	8	0	0.468603067	101325	101325	101325	101325	0.000101887097	0	0	0.00493792	0	0	3
22	8	0	0.490917498	101325	101325	101325	101325	0.000102167585	0	0	0.00493529	0	0	3
23	9	0	0.51323193	101325	101325	101325	101325	0.000102424179	0	0	0.00493537	0	0	3
24	9	0	0.535546362	101325	101325	101325	101325	3.15817888e-005	0	0	0.0049313	0	0	3
25	9	0	0.557860793	101325	101325	101325	101325	2.07726553e-005	0	0	0.00492789	0	0	3
26	10	0	0.580175225	101325	101325	101325	101325	1.00169564e-005	0	0	0.00492582	0	0	3
27	10	0	0.602489657	101325	101325	101325	101325	7.08126754e-006	0	0	0.00492543	0	0	3
28	10	0	0.624804089	101325	101325	101325	101325	7.08126754e-006	0	0	0.00492292	0	0	3
29	11	0	0.64711852	101325	101325	101325	101325	3.12076008e-006	0	0	0.00492383	0	0	3
30	11	0	0.669432952	101325	101325	101325	101325	3.12076008e-006	0	0	0.00492341	0	0	3
31	11	0	0.691747384	101325	101325	101325	101325	1.73057197e-006	0	0	0.00492267	0	0	3
32	12	0	0.714061816	101325	101325	101325	101325	1.71239662e-006	0	0	0.00492373	0	0	3
33	12	0	0.736376247	101325	101325	101325	101325	1.61009666e-006	0	0	0.00492423	0	0	3
34	12	0	0.758690679	101325	101325	101325	101325	9.056821e-007	0	0	0.00492336	0	0	3
35	13	0	0.781005111	101325	101325	101325	101325	9.056821e-007	0	0	0.0049259	0	0	3
36	13	0	0.803319543	101325	101325	101325	101325	4.13623638e-007	0	0	0.00492592	0	0	3
37	13	0	0.825633974	101325	101325	101325	101325	3.17260856e-007	0	0	0.00492507	0	0	3
38	14	0	0.847948406	101325	101325	101325	101325	3.17260856e-007	0	0	0.00492502	0	0	3
39	14	0	0.870262838	101325	101325	101325	101325	1.85507815e-007	0	0	0.00492615	0	0	3
40	14	0	0.89257727	101325	101325	101325	101325	1.98197085e-007	0	0	0.00492546	0	0	3
41	15	0	0.914891701	101325	101325	101325	101325	1.98197085e-007	0	0	0.00492604	0	0	3
42	15	0	0.937206133	101325	101325	101325	101325	1.98197085e-007	0	0	0.00492625	0	0	3
43	15	0	0.959520565	101325	101325	101325	101325	1.98197085e-007	0	0	0.00492567	0	0	3
44	16	0	0.981834997	101325	101325	101325	101325	1.4489342e-007	0	0	0.00492583	0	0	3
45	16	0	1.00414943	101325	101325	101325	101325	1.33775757e-007	0.00101325	100	0.00492715	0	0	3
