Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	dGMaxMin	CriteriaType	CriteriaVarType	CriteriaPercentage
1	1	0	0.0223144317	0.0001	0.0001	0.0001	0.0001	0	0	0	0	0	0	3
2	2	0	0.0446288635	0.0001	0.0001	0.0001	0.0001	0	0	0	0	0	0	3
3	2	0	0.0669432952	0.0001	0.0001	0.0001	0.0001	0	0	0	0	0	0	3
4	2	0	0.089257727	0.0001	0.0001	0.0001	0.0001	0	0	0	0	0	0	3
5	3	0	0.111572159	0.0001	0.0001	0.0001	0.0001	0	0	0	0	0	0	3
6	3	0	0.13388659	0.0001	0.0001	0.0001	0.0001	0	0	0	0	0	0	3
7	3	0	0.156201022	0.0001	0.0001	0.0001	0.0001	0	0	0	0	0	0	3
8	4	0	0.178515454	0.0001	0.0001	0.0001	0.0001	0	0	0	0	0	0	3
9	4	0	0.200829886	0.0001	0.0001	0.0001	0.0001	0	0	0	0	0	0	3
10	4	0	0.223144317	0.0001	0.0001	0.0001	0.0001	0	0	0	0	0	0	3
11	5	0	0.245458749	0.0001	0.0001	0.0001	0.0001	0	0	0	0	0	0	3
12	5	0	0.267773181	0.0001	0.0001	0.0001	0.0001	0	0	0	0	0	0	3
13	5	0	0.290087613	0.0001	0.0001	0.0001	0.0001	0	0	0	0	0	0	3
14	6	0	0.312402044	0.0001	0.0001	0.0001	0.0001	0	0	0	0	0	0	3
15	6	0	0.334716476	0.0001	0.0001	0.0001	0.0001	0	0	0	0	0	0	3
16	6	0	0.357030908	0.0001	0.0001	0.0001	0.0001	0	0	0	0	0	0	3
17	7	0	0.37934534	0.0001	0.0001	0.0001	0.0001	1.35525272e-020	0	0	0	0	0	3
18	7	0	0.401659771	0.0001	0.0001	0.0001	0.0001	1.35525272e-020	0	0	0	0	0	3
19	7	0	0.423974203	0.0001	0.0001	0.0001	0.0001	1.35525272e-020	0	0	0	0	0	3
20	8	0	0.446288635	0.0001	0.0001	0.0001	0.0001	1.35525272e-020	0	0	0	0	0	3
21	8	0	0.468603067	0.0001	0.0001	0.0001	0.0001	1.35525272e-020	0	0	0	0	0	3
22	8	0	0.490917498	0.0001	0.0001	0.0001	0.0001	1.35525272e-020	0	0	0	0	0	3
23	9	0	0.51323193	0.0001	0.0001	0.0001	0.0001	1.35525272e-020	0	0	0	0	0	3
24	9	0	0.535546362	0.0001	0.0001	0.0001	0.0001	1.35525272e-020	0	0	0	0	0	3
25	9	0	0.557860793	0.0001	0.0001	0.0001	0.0001	1.35525272e-020	0	0	0	0	0	3
26	10	0	0.580175225	0.0001	0.0001	0.0001	0.0001	1.35525272e-020	0	0	0	0	0	3
27	10	0	0.602489657	0.0001	0.0001	0.0001	0.0001	1.35525272e-020	0	0	0	0	0	3
28	10	0	0.624804089	0.0001	0.0001	0.0001	0.0001	1.35525272e-020	0	0	0	0	0	3
29	11	0	0.64711852	0.0001	0.0001	0.0001	0.0001	1.35525272e-020	0	0	0	0	0	3
30	11	0	0.669432952	0.0001	0.0001	0.0001	0.0001	1.35525272e-020	0	0	0	0	0	3
31	11	0	0.691747384	0.0001	0.0001	0.0001	0.0001	2.71050543e-020	0	0	0	0	0	3
32	12	0	0.714061816	0.0001	0.0001	0.0001	0.0001	2.71050543e-020	0	0	0	0	0	3
33	12	0	0.736376247	0.0001	0.0001	0.0001	0.0001	2.71050543e-020	0	0	0	0	0	3
34	12	0	0.758690679	0.0001	0.0001	0.0001	0.0001	2.71050543e-020	0	0	0	0	0	3
35	13	0	0.781005111	0.0001	0.0001	0.0001	0.0001	2.71050543e-020	0	0	0	0	0	3
36	13	0	0.803319543	0.0001	0.0001	0.0001	0.0001	2.71050543e-020	0	0	0	0	0	3
37	13	0	0.825633974	0.0001	0.0001	0.0001	0.0001	2.71050543e-020	0	0	0	0	0	3
38	14	0	0.847948406	0.0001	0.0001	0.0001	0.0001	2.71050543e-020	0	0	0	0	0	3
39	14	0	0.870262838	0.0001	0.0001	0.0001	0.0001	2.71050543e-020	0	0	0	0	0	3
40	14	0	0.89257727	0.0001	0.0001	0.0001	0.0001	2.71050543e-020	0	0	0	0	0	3
41	15	0	0.914891701	0.0001	0.0001	0.0001	0.0001	2.71050543e-020	0	0	0	0	0	3
42	15	0	0.937206133	0.0001	0.0001	0.0001	0.0001	2.71050543e-020	0	0	0	0	0	3
43	15	0	0.959520565	0.0001	0.0001	0.0001	0.0001	1.35525272e-020	0	0	0	0	0	3
44	16	0	0.981834997	0.0001	0.0001	0.0001	0.0001	1.35525272e-020	0	0	0	0	0	3
45	16	0	1.00414943	0.0001	0.0001	0.0001	0.0001	0	1e-006	100	0	0	0	3
