Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	dGMaxMin	CriteriaType	CriteriaVarType	CriteriaPercentage
1	1	0	0.0223144317	293.2	293.2	293.2	293.2	0	0	0	1.68777e-006	0	0	3
2	2	0	0.0446288635	293.2	293.2	293.2	293.2	2.64321898e-011	0	0	2.41086e-006	0	0	3
3	2	0	0.0669432952	293.2	293.2	293.2	293.2	4.96243047e-011	0	0	2.56221e-006	0	0	3
4	2	0	0.089257727	293.2	293.2	293.2	293.2	7.49196261e-011	0	0	3.01638e-006	0	0	3
5	3	0	0.111572159	293.2	293.2	293.2	293.2	9.92486093e-011	0	0	3.40261e-006	0	0	3
6	3	0	0.13388659	293.2	293.2	293.2	293.2	1.31706202e-010	0	0	3.82056e-006	0	0	3
7	3	0	0.156201022	293.2	293.2	293.2	293.2	1.76328285e-010	0	0	4.26927e-006	0	0	3
8	4	0	0.178515454	293.2	293.2	293.2	293.2	2.34194886e-010	0	0	4.58507e-006	0	0	3
9	4	0	0.200829886	293.2	293.2	293.2	293.2	2.99905878e-010	0	0	4.64108e-006	0	0	3
10	4	0	0.223144317	293.2	293.2	293.2	293.2	3.70960151e-010	0	0	4.74811e-006	0	0	3
11	5	0	0.245458749	293.2	293.2	293.2	293.2	4.50313564e-010	0	0	4.77867e-006	0	0	3
12	5	0	0.267773181	293.2	293.2	293.2	293.2	5.3620397e-010	0	0	4.75928e-006	0	0	3
13	5	0	0.290087613	293.2	293.2	293.2	293.2	6.25732355e-010	0	0	4.74929e-006	0	0	3
14	6	0	0.312402044	293.2	293.2	293.2	293.2	7.18557658e-010	0	0	4.72765e-006	0	0	3
15	6	0	0.334716476	293.2	293.2	293.2	293.2	8.14338819e-010	0	0	4.75037e-006	0	0	3
16	6	0	0.357030908	293.2	293.2	293.2	293.2	9.20124421e-010	0	0	4.7019e-006	0	0	3
17	7	0	0.37934534	293.2	293.2	293.2	293.2	1.03466391e-009	0	0	4.68682e-006	0	0	3
18	7	0	0.401659771	293.2	293.2	293.2	293.2	1.15642251e-009	0	0	4.68641e-006	0	0	3
19	7	0	0.423974203	293.2	293.2	293.2	293.2	1.28414968e-009	0	0	4.69043e-006	0	0	3
20	8	0	0.446288635	293.2	293.2	293.2	293.2	1.41687906e-009	0	0	4.68218e-006	0	0	3
21	8	0	0.468603067	293.2	293.2	293.2	293.2	1.56103397e-009	0	0	4.67826e-006	0	0	3
22	8	0	0.490917498	293.2	293.2	293.2	293.2	1.71405645e-009	0	0	4.65347e-006	0	0	3
23	9	0	0.51323193	293.2	293.2	293.2	293.2	1.87378646e-009	0	0	4.64349e-006	0	0	3
24	9	0	0.535546362	293.2	293.2	293.2	293.2	2.10121698e-009	0	0	4.62001e-006	0	0	3
25	9	0	0.557860793	293.2	293.2	293.2	293.2	2.34808795e-009	0	0	4.61584e-006	0	0	3
26	10	0	0.580175225	293.2	293.2	293.2	293.2	2.61712785e-009	0	0	4.56988e-006	0	0	3
27	10	0	0.602489657	293.2	293.2	293.2	293.2	2.90947355e-009	0	0	4.52613e-006	0	0	3
28	10	0	0.624804089	293.2	293.2	293.2	293.2	3.21517746e-009	0	0	4.46482e-006	0	0	3
29	11	0	0.64711852	293.2	293.2	293.2	293.2	3.52696361e-009	0	0	4.40771e-006	0	0	3
30	11	0	0.669432952	293.2	293.2	293.2	293.2	3.84017085e-009	0	0	4.3358e-006	0	0	3
31	11	0	0.691747384	293.2	293.2	293.2	293.2	4.1662247e-009	0	0	4.26433e-006	0	0	3
32	12	0	0.714061816	293.2	293.2	293.2	293.2	4.50700099e-009	0	0	4.23594e-006	0	0	3
33	12	0	0.736376247	293.2	293.2	293.2	293.2	4.85766805e-009	0	0	4.17505e-006	0	0	3
34	12	0	0.758690679	293.2	293.2	293.2	293.2	5.21646371e-009	0	0	4.05066e-006	0	0	3
35	13	0	0.781005111	293.2	293.2	293.2	293.2	5.58401325e-009	0	0	4.05661e-006	0	0	3
36	13	0	0.803319543	293.2	293.2	293.2	293.2	5.97083272e-009	0	0	3.99423e-006	0	0	3
37	13	0	0.825633974	293.2	293.2	293.2	293.2	6.37413677e-009	0	0	3.92908e-006	0	0	3
38	14	0	0.847948406	293.2	293.2	293.2	293.2	6.78488732e-009	0	0	3.92977e-006	0	0	3
39	14	0	0.870262838	293.2	293.2	293.2	293.2	7.19586524e-009	0	0	3.88396e-006	0	0	3
40	14	0	0.89257727	293.2	293.2	293.2	293.2	7.60650209e-009	0	0	3.78295e-006	0	0	3
41	15	0	0.914891701	293.2	293.2	293.2	293.2	8.02413069e-009	0	0	3.78575e-006	0	0	3
42	15	0	0.937206133	293.2	293.2	293.2	293.2	8.44778469e-009	0	0	3.72316e-006	0	0	3
43	15	0	0.959520565	293.2	293.2	293.2	293.2	8.86848284e-009	0	0	3.65667e-006	0	0	3
44	16	0	0.981834997	293.2	293.2	293.2	293.2	9.2782102e-009	0	0	3.69191e-006	0	0	3
45	16	0	1.00414943	293.2	293.2	293.2	293.2	9.67679625e-009	2.932e-006	100	3.65351e-006	0	0	3
