Iteration	CPUTime	PhysTime	Travels	CourFact
1	1	0	0.0223144317	0
2	2	0	0.0446288635	0
3	2	0	0.0669432952	0
4	2	0	0.089257727	0
5	3	0	0.111572159	0
6	3	0	0.13388659	0
7	3	0	0.156201022	0
8	4	0	0.178515454	0
9	4	0	0.200829886	0
10	4	0	0.223144317	0
11	5	0	0.245458749	0
12	5	0	0.267773181	0
13	5	0	0.290087613	0
14	6	0	0.312402044	0
15	6	0	0.334716476	0
16	6	0	0.357030908	0
17	7	0	0.37934534	0
18	7	0	0.401659771	0
19	7	0	0.423974203	0
20	8	0	0.446288635	0
21	8	0	0.468603067	0
22	8	0	0.490917498	0
23	9	0	0.51323193	0
24	9	0	0.535546362	0
25	9	0	0.557860793	0
26	10	0	0.580175225	0
27	10	0	0.602489657	0
28	10	0	0.624804089	0
29	11	0	0.64711852	0
30	11	0	0.669432952	0
31	11	0	0.691747384	0
32	12	0	0.714061816	0
33	12	0	0.736376247	0
34	12	0	0.758690679	0
35	13	0	0.781005111	0
36	13	0	0.803319543	0
37	13	0	0.825633974	0
38	14	0	0.847948406	0
39	14	0	0.870262838	0
40	14	0	0.89257727	0
41	15	0	0.914891701	0
42	15	0	0.937206133	0
43	15	0	0.959520565	0
44	16	0	0.981834997	0
45	16	0	1.00414943	0
