Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	dGMaxMin	CriteriaType	CriteriaVarType	CriteriaPercentage
1	4	0	0.0139346355	101325	101325	101325	101325	0	0	0	0	0	0	3
2	6	0	0.0278692711	101325	101325	101325	101325	4.36557457e-011	0	0	0	0	0	3
3	7	0	0.0418039066	101325	101325	101325	101325	5.82076609e-011	0	0	0	0	0	3
4	9	0	0.0557385422	101325	101325	101325	101325	7.27595761e-011	0	0	0	0	0	3
5	10	0	0.0696731777	101325	101325	101325	101325	7.27595761e-011	0	0	0	0	0	3
6	12	0	0.0836078133	101325	101325	101325	101325	7.27595761e-011	0	0	0	0	0	3
7	13	0	0.0975424488	101325	101325	101325	101325	7.27595761e-011	0	0	0	0	0	3
8	15	0	0.111477084	101325	101325	101325	101325	1.01863407e-010	0	0	0	0	0	3
9	17	0	0.12541172	101325	101325	101325	101325	1.01863407e-010	0	0	0	0	0	3
10	18	0	0.139346355	101325	101325	101325	101325	1.30967237e-010	0	0	0	0	0	3
11	20	0	0.153280991	101325	101325	101325	101325	1.45519152e-010	0	0	0	0	0	3
12	21	0	0.167215627	101325	101325	101325	101325	1.45519152e-010	0	0	0	0	0	3
13	23	0	0.181150262	101325	101325	101325	101325	1.60071068e-010	0	0	0	0	0	3
14	24	0	0.195084898	101325	101325	101325	101325	1.60071068e-010	0	0	0	0	0	3
15	26	0	0.209019533	101325	101325	101325	101325	1.60071068e-010	0	0	0	0	0	3
16	28	0	0.222954169	101325	101325	101325	101325	1.60071068e-010	0	0	0	0	0	3
17	29	0	0.236888804	101325	101325	101325	101325	1.60071068e-010	0	0	0	0	0	3
18	31	0	0.25082344	101325	101325	101325	101325	1.60071068e-010	0	0	0	0	0	3
19	32	0	0.264758075	101325	101325	101325	101325	1.60071068e-010	0	0	0	0	0	3
20	34	0	0.278692711	101325	101325	101325	101325	1.60071068e-010	0	0	0	0	0	3
21	35	0	0.292627346	101325	101325	101325	101325	1.60071068e-010	0	0	0	0	0	3
22	37	0	0.306561982	101325	101325	101325	101325	1.60071068e-010	0	0	0	0	0	3
23	38	0	0.320496618	101325	101325	101325	101325	1.60071068e-010	0	0	0	0	0	3
24	40	0	0.334431253	101325	101325	101325	101325	1.60071068e-010	0	0	0	0	0	3
25	41	0	0.348365889	101325	101325	101325	101325	1.60071068e-010	0	0	0	0	0	3
26	43	0	0.362300524	101325	101325	101325	101325	1.60071068e-010	0	0	0	0	0	3
27	44	0	0.37623516	101325	101325	101325	101325	1.60071068e-010	0	0	0	0	0	3
28	46	0	0.390169795	101325	101325	101325	101325	1.60071068e-010	0	0	0	0	0	3
29	47	0	0.404104431	101325	101325	101325	101325	1.60071068e-010	0	0	0	0	0	3
30	49	0	0.418039066	101325	101325	101325	101325	1.60071068e-010	0	0	0	0	0	3
31	50	0	0.431973702	101325	101325	101325	101325	1.60071068e-010	0	0	0	0	0	3
32	52	0	0.445908337	101325	101325	101325	101325	1.60071068e-010	0	0	0	0	0	3
33	53	0	0.459842973	101325	101325	101325	101325	1.60071068e-010	0	0	0	0	0	3
34	55	0	0.473777609	101325	101325	101325	101325	1.60071068e-010	0	0	0	0	0	3
35	57	0	0.487712244	101325	101325	101325	101325	1.60071068e-010	0	0	0	0	0	3
36	58	0	0.50164688	101325	101325	101325	101325	1.60071068e-010	0	0	0	0	0	3
37	60	0	0.515581515	101325	101325	101325	101325	1.60071068e-010	0	0	0	0	0	3
38	61	0	0.529516151	101325	101325	101325	101325	1.60071068e-010	0	0	0	0	0	3
39	63	0	0.543450786	101325	101325	101325	101325	1.60071068e-010	0	0	0	0	0	3
40	64	0	0.557385422	101325	101325	101325	101325	1.60071068e-010	0	0	0	0	0	3
41	66	0	0.571320057	101325	101325	101325	101325	1.16415322e-010	0	0	0	0	0	3
42	68	0	0.585254693	101325	101325	101325	101325	1.16415322e-010	0	0	0	0	0	3
43	69	0	0.599189328	101325	101325	101325	101325	8.73114914e-011	0	0	0	0	0	3
44	71	0	0.613123964	101325	101325	101325	101325	8.73114914e-011	0	0	0	0	0	3
45	72	0	0.6270586	101325	101325	101325	101325	8.73114914e-011	0	0	0	0	0	3
46	74	0	0.640993235	101325	101325	101325	101325	8.73114914e-011	0	0	0	0	0	3
47	75	0	0.654927871	101325	101325	101325	101325	8.73114914e-011	0	0	0	0	0	3
48	77	0	0.668862506	101325	101325	101325	101325	8.73114914e-011	0	0	0	0	0	3
49	78	0	0.682797142	101325	101325	101325	101325	8.73114914e-011	0	0	0	0	0	3
50	80	0	0.696731777	101325	101325	101325	101325	8.73114914e-011	0	0	0	0	0	3
51	81	0	0.710666413	101325	101325	101325	101325	8.73114914e-011	0	0	0	0	0	3
52	83	0	0.724601048	101325	101325	101325	101325	8.73114914e-011	0	0	0	0	0	3
53	84	0	0.738535684	101325	101325	101325	101325	8.73114914e-011	0	0	0	0	0	3
54	86	0	0.752470319	101325	101325	101325	101325	8.73114914e-011	0	0	0	0	0	3
55	87	0	0.766404955	101325	101325	101325	101325	8.73114914e-011	0	0	0	0	0	3
56	89	0	0.780339591	101325	101325	101325	101325	1.01863407e-010	0	0	0	0	0	3
57	90	0	0.794274226	101325	101325	101325	101325	1.01863407e-010	0	0	0	0	0	3
58	92	0	0.808208862	101325	101325	101325	101325	7.27595761e-011	0	0	0	0	0	3
59	93	0	0.822143497	101325	101325	101325	101325	5.82076609e-011	0	0	0	0	0	3
60	95	0	0.836078133	101325	101325	101325	101325	5.82076609e-011	0	0	0	0	0	3
61	97	0	0.850012768	101325	101325	101325	101325	5.82076609e-011	0	0	0	0	0	3
62	98	0	0.863947404	101325	101325	101325	101325	5.82076609e-011	0	0	0	0	0	3
63	100	0	0.877882039	101325	101325	101325	101325	5.82076609e-011	0	0	0	0	0	3
64	101	0	0.891816675	101325	101325	101325	101325	5.82076609e-011	0	0	0	0	0	3
65	103	0	0.90575131	101325	101325	101325	101325	5.82076609e-011	0	0	0	0	0	3
66	104	0	0.919685946	101325	101325	101325	101325	5.82076609e-011	0	0	0	0	0	3
67	106	0	0.933620581	101325	101325	101325	101325	5.82076609e-011	0	0	0	0	0	3
68	107	0	0.947555217	101325	101325	101325	101325	5.82076609e-011	0	0	0	0	0	3
69	109	0	0.961489853	101325	101325	101325	101325	5.82076609e-011	0	0	0	0	0	3
