Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	dGMaxMin	CriteriaType	CriteriaVarType	CriteriaPercentage
1	4	0	0.0139346355	293.200001	293.200001	293.200001	293.200001	0	0	0	0	0	0	3
2	6	0	0.0278692711	293.200001	293.200001	293.200001	293.200001	2.27373675e-013	0	0	0	0	0	3
3	7	0	0.0418039066	293.200001	293.200001	293.200001	293.200001	2.27373675e-013	0	0	0	0	0	3
4	9	0	0.0557385422	293.200001	293.200001	293.200001	293.200001	2.27373675e-013	0	0	0	0	0	3
5	10	0	0.0696731777	293.200001	293.200001	293.200001	293.200001	2.27373675e-013	0	0	0	0	0	3
6	12	0	0.0836078133	293.200001	293.200001	293.200001	293.200001	2.27373675e-013	0	0	0	0	0	3
7	13	0	0.0975424488	293.200001	293.200001	293.200001	293.200001	2.27373675e-013	0	0	0	0	0	3
8	15	0	0.111477084	293.200001	293.200001	293.200001	293.200001	2.27373675e-013	0	0	0	0	0	3
9	17	0	0.12541172	293.200001	293.200001	293.200001	293.200001	2.27373675e-013	0	0	0	0	0	3
10	18	0	0.139346355	293.200001	293.200001	293.200001	293.200001	2.27373675e-013	0	0	0	0	0	3
11	20	0	0.153280991	293.200001	293.200001	293.200001	293.200001	2.84217094e-013	0	0	0	0	0	3
12	21	0	0.167215627	293.200001	293.200001	293.200001	293.200001	2.84217094e-013	0	0	0	0	0	3
13	23	0	0.181150262	293.200001	293.200001	293.200001	293.200001	2.84217094e-013	0	0	0	0	0	3
14	24	0	0.195084898	293.200001	293.200001	293.200001	293.200001	3.41060513e-013	0	0	0	0	0	3
15	26	0	0.209019533	293.200001	293.200001	293.200001	293.200001	3.41060513e-013	0	0	0	0	0	3
16	28	0	0.222954169	293.200001	293.200001	293.200001	293.200001	3.41060513e-013	0	0	0	0	0	3
17	29	0	0.236888804	293.200001	293.200001	293.200001	293.200001	3.41060513e-013	0	0	0	0	0	3
18	31	0	0.25082344	293.200001	293.200001	293.200001	293.200001	3.41060513e-013	0	0	0	0	0	3
19	32	0	0.264758075	293.200001	293.200001	293.200001	293.200001	3.41060513e-013	0	0	0	0	0	3
20	34	0	0.278692711	293.200001	293.200001	293.200001	293.200001	3.41060513e-013	0	0	0	0	0	3
21	35	0	0.292627346	293.200001	293.200001	293.200001	293.200001	3.41060513e-013	0	0	0	0	0	3
22	37	0	0.306561982	293.200001	293.200001	293.200001	293.200001	3.41060513e-013	0	0	0	0	0	3
23	38	0	0.320496618	293.200001	293.200001	293.200001	293.200001	3.41060513e-013	0	0	0	0	0	3
24	40	0	0.334431253	293.200001	293.200001	293.200001	293.200001	3.41060513e-013	0	0	0	0	0	3
25	41	0	0.348365889	293.200001	293.200001	293.200001	293.200001	3.41060513e-013	0	0	0	0	0	3
26	43	0	0.362300524	293.200001	293.200001	293.200001	293.200001	3.41060513e-013	0	0	0	0	0	3
27	44	0	0.37623516	293.200001	293.200001	293.200001	293.200001	3.41060513e-013	0	0	0	0	0	3
28	46	0	0.390169795	293.200001	293.200001	293.200001	293.200001	3.41060513e-013	0	0	0	0	0	3
29	47	0	0.404104431	293.200001	293.200001	293.200001	293.200001	3.41060513e-013	0	0	0	0	0	3
30	49	0	0.418039066	293.200001	293.200001	293.200001	293.200001	3.41060513e-013	0	0	0	0	0	3
31	50	0	0.431973702	293.200001	293.200001	293.200001	293.200001	3.41060513e-013	0	0	0	0	0	3
32	52	0	0.445908337	293.200001	293.200001	293.200001	293.200001	3.41060513e-013	0	0	0	0	0	3
33	53	0	0.459842973	293.200001	293.200001	293.200001	293.200001	3.41060513e-013	0	0	0	0	0	3
34	55	0	0.473777609	293.200001	293.200001	293.200001	293.200001	3.41060513e-013	0	0	0	0	0	3
35	57	0	0.487712244	293.200001	293.200001	293.200001	293.200001	3.41060513e-013	0	0	0	0	0	3
36	58	0	0.50164688	293.200001	293.200001	293.200001	293.200001	3.41060513e-013	0	0	0	0	0	3
37	60	0	0.515581515	293.200001	293.200001	293.200001	293.200001	3.41060513e-013	0	0	0	0	0	3
38	61	0	0.529516151	293.200001	293.200001	293.200001	293.200001	2.84217094e-013	0	0	0	0	0	3
39	63	0	0.543450786	293.200001	293.200001	293.200001	293.200001	2.84217094e-013	0	0	0	0	0	3
40	64	0	0.557385422	293.200001	293.200001	293.200001	293.200001	2.27373675e-013	0	0	0	0	0	3
41	66	0	0.571320057	293.200001	293.200001	293.200001	293.200001	1.70530257e-013	0	0	0	0	0	3
42	68	0	0.585254693	293.200001	293.200001	293.200001	293.200001	1.70530257e-013	0	0	0	0	0	3
43	69	0	0.599189328	293.200001	293.200001	293.200001	293.200001	1.70530257e-013	0	0	0	0	0	3
44	71	0	0.613123964	293.200001	293.200001	293.200001	293.200001	1.13686838e-013	0	0	0	0	0	3
45	72	0	0.6270586	293.200001	293.200001	293.200001	293.200001	1.13686838e-013	0	0	0	0	0	3
46	74	0	0.640993235	293.200001	293.200001	293.200001	293.200001	1.13686838e-013	0	0	0	0	0	3
47	75	0	0.654927871	293.200001	293.200001	293.200001	293.200001	1.13686838e-013	0	0	0	0	0	3
48	77	0	0.668862506	293.200001	293.200001	293.200001	293.200001	1.13686838e-013	0	0	0	0	0	3
49	78	0	0.682797142	293.200001	293.200001	293.200001	293.200001	1.13686838e-013	0	0	0	0	0	3
50	80	0	0.696731777	293.200001	293.200001	293.200001	293.200001	1.13686838e-013	0	0	0	0	0	3
51	81	0	0.710666413	293.200001	293.200001	293.200001	293.200001	1.13686838e-013	0	0	0	0	0	3
52	83	0	0.724601048	293.200001	293.200001	293.200001	293.200001	1.13686838e-013	0	0	0	0	0	3
53	84	0	0.738535684	293.200001	293.200001	293.200001	293.200001	1.70530257e-013	0	0	0	0	0	3
54	86	0	0.752470319	293.200001	293.200001	293.200001	293.200001	1.70530257e-013	0	0	0	0	0	3
55	87	0	0.766404955	293.200001	293.200001	293.200001	293.200001	1.70530257e-013	0	0	0	0	0	3
56	89	0	0.780339591	293.200001	293.200001	293.200001	293.200001	1.70530257e-013	0	0	0	0	0	3
57	90	0	0.794274226	293.200001	293.200001	293.200001	293.200001	1.70530257e-013	0	0	0	0	0	3
58	92	0	0.808208862	293.200001	293.200001	293.200001	293.200001	1.70530257e-013	0	0	0	0	0	3
59	93	0	0.822143497	293.200001	293.200001	293.200001	293.200001	1.70530257e-013	0	0	0	0	0	3
60	95	0	0.836078133	293.200001	293.200001	293.200001	293.200001	1.70530257e-013	0	0	0	0	0	3
61	97	0	0.850012768	293.200001	293.200001	293.200001	293.200001	1.70530257e-013	0	0	0	0	0	3
62	98	0	0.863947404	293.200001	293.200001	293.200001	293.200001	1.70530257e-013	0	0	0	0	0	3
63	100	0	0.877882039	293.200001	293.200001	293.200001	293.200001	1.70530257e-013	0	0	0	0	0	3
64	101	0	0.891816675	293.200001	293.200001	293.200001	293.200001	1.13686838e-013	0	0	0	0	0	3
65	103	0	0.90575131	293.200001	293.200001	293.200001	293.200001	1.13686838e-013	0	0	0	0	0	3
66	104	0	0.919685946	293.200001	293.200001	293.200001	293.200001	1.13686838e-013	0	0	0	0	0	3
67	106	0	0.933620581	293.200001	293.200001	293.200001	293.200001	1.13686838e-013	0	0	0	0	0	3
68	107	0	0.947555217	293.200001	293.200001	293.200001	293.200001	1.13686838e-013	0	0	0	0	0	3
69	109	0	0.961489853	293.200001	293.200001	293.200001	293.200001	1.13686838e-013	0	0	0	0	0	3
70	110	0	0.975424488	293.200001	293.200001	293.200001	293.200001	1.70530257e-013	0	0	0	0	0	3
71	112	0	0.989359124	293.200001	293.200001	293.200001	293.200001	1.70530257e-013	0	0	0	0	0	3
72	114	0	1.00329376	293.200001	293.200001	293.200001	293.200001	1.70530257e-013	2.93200001e-006	100	0	0	0	3
