Qty,Device,Parts,Description,MANUFACTURER,MPN,VENDOR,VLINK,VPN,
1,982OHM-RC0603FR-07976RL,R32,RES SMD 976 OHM 1% 1/10W 0603,Yageo,RC0603FR-07976RL,Digikey,https://www.digikey.com/product-detail/en/yageo/RC0603FR-07976RL/311-976HRCT-ND/730388,311-976HRCT-ND ,
3,APT1608CGCK,D2/D8/D9,LED GREEN CLEAR 0603 SMD,Kingbright,APT1608CGCK,Digikey,https://www.digikey.com/product-detail/en/kingbright/APT1608CGCK/754-1116-1-ND/1747833#,754-1116-1-ND,
4,BNC-5227161-9PTH,J4/J7/J13/J19,CONN BNC JACK R/A 50 OHM PCB,TE Connectivity AMP Connectors,5227161-9,Digikey,https://www.digikey.com/product-detail/en/te-connectivity-amp-connectors/5227161-9/A32261-ND/811159,A32261-ND ,
1,GSH15,F6,FUSE BLOCK CART 250V 6.3A PCB,Littelfuse Inc.,64900001039,Digikey,https://www.digikey.com/product-detail/en/littelfuse-inc/64900001039/WK0011-ND/245470,WK0011-ND,
4,ISO1540DR,U4/U6/U10/U14,DGTL ISO 2.5KV 2CH I2C 8SOIC,Texas Instruments,ISO1540DR,Digikey,https://www.digikey.com/product-detail/en/texas-instruments/ISO1540DR/296-34871-1-ND/3587214, 296-34871-1-ND,
1,LM2937IMP-3.3/NOPB,U8,IC REG LIN 3.3V 400MA SOT223-4,Texas Instruments,LM2937IMP-3.3/NOPB,,https://www.digikey.com/product-detail/en/texas-instruments/LM2937IMP-3.3-NOPB/LM2937IMP-3.3-NOPBCT-ND/270742#, LM2937IMP-3.3/NOPBCT-ND,
1,MIC4680YM-TR,U11,IC REG BUCK BOOST ADJ 1.3A 8SOIC,Microchip Technology,MIC4680YM-TR,Digikey,https://www.digikey.com/product-detail/en/microchip-technology/MIC4680YM-TR/576-1222-1-ND/771874,576-1222-1-ND,
2,OPENAG-V1-RJ45PTH,J16/J17,CONN MOD JACK 8P8C R/A UNSHLD,Amphenol FCI,54602-908LF,Digikey,https://www.digikey.com/product-detail/en/amphenol-fci/54602-908LF/609-1046-ND/1001360,609-1046-ND,
1,PCA9615DPJ,U12,IC REDRIVER I2C 2CH 10TSSOP,NXP USA Inc.,PCA9615DPJ ,Digikey,https://www.digikey.com/product-detail/en/nxp-usa-inc/PCA9615DPJ/568-11484-1-ND/4864508,568-11484-1-ND,
2,PJ-036AH-SMT-TR,J11/J12,CONN PWR JACK 2X5.5MM SOLDER,CUI Inc.,PJ-036AH-SMT-TR,Digikey,https://www.digikey.com/product-detail/en/cui-inc/PJ-036AH-SMT-TR/CP-036AHPJCT-ND/1530994,CP-036AHPJCT-ND,
4,RM3.33.3S,U3/U5/U9/U13,CONV DC/DC 0.25W SGL 3.3VOUT SIP,Recom Power,RM-3.33.3S,Digikey,https://www.digikey.com/product-detail/en/recom-power/RM-3.33.3S/945-1212-ND/2256392, 945-1212-ND ,
1,SBR2A40P1-7,D6,DIODE SBR 40V 2A POWERDI123,Diodes Incorporated,SBR2A40P1-7,Digikey,https://www.digikey.com/product-detail/en/diodes-incorporated/SBR2A40P1-7/SBR2A40P1DITR-ND/1681825,SBR2A40P1DITR-ND,
1,SMAJ26A-13-F,D10,TVS DIODE 26VWM 42.1VC SMA,Diodes Incorporated,SMAJ26A-13-F,Digikey,https://www.digikey.com/product-detail/en/diodes-incorporated/SMAJ26A-13-F/SMAJ26A-FDICT-ND/806583,SMAJ26A-FDICT-ND,
1,SST_7,F5,FUSE BRD MNT 7A 125VAC/VDC 2SMD,Bel Fuse,SST7,Digikey,https://www.digikey.com/product-detail/en/bel-fuse-inc/SST-7/507-1072-1-ND/615026, 507-1072-1-ND,
