Qty,Device,Parts,Description,MANUFACTURER,MPN,VENDOR,VLINK,VPN,
18,0.1UF-C0603C104K5RACTU,C5/C6/C7/C8/C9/C10/C11/C12/C16/C17/C18/C19/C20/C25/C26/C27/C28/C30,CAP CER 0.1UF 50V X7R 0603,Kemet,C0603C104K5RACTU,Digikey,https://www.digikey.com/product-detail/en/kemet/C0603C104K5RACTU/399-5089-1-ND/1465623, 399-5089-1-ND,
1,0438.375WR,F4,FUSE BOARD MNT 400MA 125VAC/VDC,Littlefuse Inc.,0448.400MR,Digikey,https://www.digikey.com/product-detail/en/littelfuse-inc/0448.400MR/F5573CT-ND/3306934,F5573CT-ND,
3,100OHM-RC0603JR-07100RL,R30/R33/R34,RES SMD 100 OHM 5% 1/10W 0603,Yageo,RC0603JR-07100RL,Digikey,https://www.digikey.com/product-detail/en/yageo/RC0603JR-07100RL/311-100GRCT-ND/729644,311-100GRCT-ND,
2,10K-ERJ-3EKF1002V,R41/R42,RES SMD 10K OHM 1% 1/10W 0603,Panasonic,ERJ-3EKF1002V,Digikey,https://www.digikey.com/product-detail/en/panasonic-electronic-components/ERJ-3EKF1002V/P10.0KHCT-ND/198102,P10.0KHCT-ND,
2,10UF-GMK212BBJ106KG-T,C21/C24,CAP CER 10UF 35V X5R 0805,Taiyo Yuden,GMK212BBJ106KG-T,Digikey,https://www.digikey.com/product-detail/en/taiyo-yuden/GMK212BBJ106KG-T/587-4893-1-ND/6563736,587-4893-1-ND,
2,120OHM-RC0603FR-07120RL,R36/R40,RES SMD 120 OHM 1% 1/10W 0603,Yageo,RC0603FR-07120RL,Digikey,https://www.digikey.com/product-detail/en/yageo/RC0603FR-07120RL/311-120HRCT-ND/729867,311-120HRCT-ND ,
1,15UF-C2012X5R1V156M125AC,C22,CAP CER 15UF 35V X5R 0805,TDK Corporation,C2012X5R1V156M125AC,Digikey,https://www.digikey.com/product-detail/en/tdk-corporation/C2012X5R1V156M125AC/445-14423-1-ND/3956089,445-14423-1-ND ,
16,1K-ERJ-PB3D1001V,R5/R6/R7/R8/R9/R10/R11/R12/R17/R18/R19/R20/R25/R26/R27/R28,RES SMD 1K OHM 0.5% 1/5W 0603,Panasonic,P20283CT-ND,Digikey,https://www.digikey.com/product-detail/en/panasonic-electronic-components/ERJ-PB3D1001V/P20283CT-ND/6214538, P20283CT-ND,
1,220UF-TPSY227K010R0100,C23,CAP TANT 220UF 10V 10% 2917,AVX Corporation,TPSY227K010R0100,Digikey,https://www.digikey.com/product-detail/en/avx-corporation/TPSY227K010R0100/478-5408-1-ND/1967712, 478-5408-1-ND ,
1,3.01K-RC0603FR-073K01L,R31,RES SMD 3.01K OHM 1% 1/10W 0603,Yageo,RC0603FR-073K01L,Digikey,https://www.digikey.com/product-detail/en/yageo/RC0603FR-073K01L/311-3.01KHRCT-ND/730068,311-3.01KHRCT-ND ,
1,4.7UF-CL21A475KBQNNNE,C29,CAP CER 4.7UF 50V X5R 0805,Samsung,CL21A475KBQNNNE,Digikey,https://www.digikey.com/product-detail/en/samsung-electro-mechanics/CL21A475KBQNNNE/1276-1248-1-ND/3889334, 1276-1248-1-ND,
4,600OHM-RC0603FR-07604RL,R35/R37/R38/R39,RES SMD 604 OHM 1% 1/10W 0603,Yageo,RC0603FR-07604RL,Digikey,https://www.digikey.com/product-detail/en/yageo/RC0603FR-07604RL/311-604HRCT-ND/730276,311-604HRCT-ND,
1,68UH-UP2B-680-R,L2,FIXED IND 68UH 1.5A 178.7 MOHM,Eaton,UP2B-680-R,Digikey,https://www.digikey.com/product-detail/en/UP2B-680-R/513-1083-1-ND/695364, 513-1083-1-ND ,
