Qty,Device,Parts,Description,MANUFACTURER,MPN,VENDOR,VLINK,VPN,
6,0.1UF-C0603C104K5RACTU,C26/C27/C28/C31/C38/C43,CAP CER 0.1UF 50V X7R 0603,Kemet,C0603C104K5RACTU,Digikey,https://www.digikey.com/product-detail/en/kemet/C0603C104K5RACTU/399-5089-1-ND/1465623, 399-5089-1-ND,
7,0OHM-RC0603JR-070RL,R2/R3/R4/R5/R10/R12/R29,RES SMD 0 OHM JUMPER 1/10W 0603,Yageo,RC0603JR-070RL,Digikey,https://www.digikey.com/product-detail/en/yageo/RC0603JR-070RL/311-0.0GRCT-ND/729622,311-0.0GRCT-ND,
3,100OHM-RC0603JR-07100RL,R11/R39/R41,RES SMD 100 OHM 5% 1/10W 0603,Yageo,RC0603JR-07100RL,Digikey,https://www.digikey.com/product-detail/en/yageo/RC0603JR-07100RL/311-100GRCT-ND/729644,311-100GRCT-ND,
6,100UF-EEE-1HA101UP,C3/C6/C9/C12/C15/C18,CAP ALUM 100UF 20% 50V SMD,Panasonic Electronic Components,EEE-1HA101UP,Digikey,https://www.digikey.com/product-detail/en/panasonic-electronic-components/EEE-1HA101UP/PCE3917CT-ND/766293,PCE3917CT-ND,
2,10K-ERJ-3EKF1002V,R37/R38,RES SMD 10K OHM 1% 1/10W 0603,Panasonic,ERJ-3EKF1002V,Digikey,https://www.digikey.com/product-detail/en/panasonic-electronic-components/ERJ-3EKF1002V/P10.0KHCT-ND/198102,P10.0KHCT-ND,
12,10NF-C0603C103K5RACTU,C1/C2/C4/C5/C7/C8/C10/C11/C13/C14/C16/C17,CAP CER 10000PF 50V X7R 0603,KEMET,C0603C103K5RACTU,Digikey,https://www.digikey.com/product-detail/en/kemet/C0603C103K5RACTU/399-1091-1-ND/411366#,399-1091-1-ND,
6,10UF-GMK212BBJ106KG-T,C21/C36/C39/C40/C41/C42,CAP CER 10UF 35V X5R 0805,Taiyo Yuden,GMK212BBJ106KG-T,Digikey,https://www.digikey.com/product-detail/en/taiyo-yuden/GMK212BBJ106KG-T/587-4893-1-ND/6563736,587-4893-1-ND,
4,120OHM-RC0603FR-07120RL,R32/R36/R46/R47,RES SMD 120 OHM 1% 1/10W 0603,Yageo,RC0603FR-07120RL,Digikey,https://www.digikey.com/product-detail/en/yageo/RC0603FR-07120RL/311-120HRCT-ND/729867,311-120HRCT-ND ,
6,120UH-ASPI-6045S-121M-TCT-ND,L1/L2/L3/L4/L5/L6,FIXED IND 120UH 700MA 484 MOHM,Abracon LLC,ASPI-6045S-121M-T,Digikey,https://www.digikey.com/products/en?keywords=ASPI-6045S-121M-TCT-ND%09,ASPI-6045S-121M-TCT-ND,
16,1K-ERJ-PB3D1001V,R1/R6/R7/R8/R9/R13/R14/R15/R28/R40/R56/R57/R58/R59/R60/R61,RES SMD 1K OHM 0.5% 1/5W 0603,Panasonic,P20283CT-ND,Digikey,https://www.digikey.com/product-detail/en/panasonic-electronic-components/ERJ-PB3D1001V/P20283CT-ND/6214538, P20283CT-ND,
