Qty,Device,Parts,Description,MANUFACTURER,MPN,VENDOR,VLINK,VPN,
2,1UF-CL10A105KB8NNNC,C22/C23,CAP CER 1UF 50V X5R 0603,Samsung Electro-Mechanics,CL10A105KB8NNNC,Digikey,https://www.digikey.com/product-detail/en/samsung-electro-mechanics-america-inc/CL10A105KB8NNNC/1276-1860-1-ND/3889946,1276-1860-1-ND,
6,2.2UF-GRM188R6YA225KA12D,C19/C20/C24/C25/C30/C34,CAP CER 2.2UF 35V X5R 0603,Murata Electronics North America,GRM188R6YA225KA12D,Digikey,https://www.digikey.com/product-detail/en/murata-electronics-north-america/GRM188R6YA225KA12D/490-7204-1-ND/3900456,490-7204-1-ND,
1,33UH-29333C,L8,FIXED IND 33UH 1A 120 MOHM SMD,Murata Power Solutions Inc.,29333C,Digikey,https://www.digikey.com/product-detail/en/murata-power-solutions-inc/29333C/811-1138-1-ND/1924860,811-1138-1-ND,
2,4.7UF-CL21A475KBQNNNE,C29/C37,CAP CER 4.7UF 50V X5R 0805,Samsung,CL21A475KBQNNNE,Digikey,https://www.digikey.com/product-detail/en/samsung-electro-mechanics/CL21A475KBQNNNE/1276-1248-1-ND/3889334, 1276-1248-1-ND,
8,600OHM-RC0603FR-07604RL,R31/R33/R34/R35/R42/R43/R44/R45,RES SMD 604 OHM 1% 1/10W 0603,Yageo,RC0603FR-07604RL,Digikey,https://www.digikey.com/product-detail/en/yageo/RC0603FR-07604RL/311-604HRCT-ND/730276,311-604HRCT-ND,
1,ADM2481BRWZ-RL7,U9,DGTL ISO RS422/RS485 16SOIC,Analog Devices,ADM2481BRWZ-RL7,Digikey,https://www.digikey.com/product-detail/en/analog-devices-inc/ADM2481BRWZ-RL7/ADM2481BRWZ-RL7TR-ND/2606655,ADM2481BRWZ-RL7TR-ND,
4,APT1608CGCK,D1/D4/D5/D6,LED GREEN CLEAR 0603 SMD,Kingbright,APT1608CGCK,Digikey,https://www.digikey.com/product-detail/en/kingbright/APT1608CGCK/754-1116-1-ND/1747833#,754-1116-1-ND,
1,BARREL-JACK-PJ-036AH-SMT-TR,J2,CONN PWR JACK 2X5.5MM SOLDER,CUI Inc.,PJ-036AH-SMT-TR,Digikey,https://www.digikey.com/product-detail/en/cui-inc/PJ-036AH-SMT-TR/CP-036AHPJCT-ND/1530994,CP-036AHPJCT-ND,
1,DAC5578SPW,U7,IC DAC 8BIT I2C OCTAL 16TSSOP,Texas Instruments,DAC5578SPW,Digikey,https://www.digikey.com/product-detail/en/texas-instruments/DAC5578SPW/296-27736-5-ND/2360827,296-27736-5-ND,
1,GSH15,F3,FUSE BLOCK CART 250V 6.3A PCB,Littelfuse Inc.,64900001039,Digikey,https://www.digikey.com/product-detail/en/littelfuse-inc/64900001039/WK0011-ND/245470,WK0011-ND,
1,LM2937IMP-3.3/NOPB,U13,IC REG LIN 3.3V 400MA SOT223-4,Texas Instruments,LM2937IMP-3.3/NOPB,Digikey,https://www.digikey.com/product-detail/en/texas-instruments/LM2937IMP-3.3-NOPB/LM2937IMP-3.3-NOPBCT-ND/270742#, LM2937IMP-3.3/NOPBCT-ND,
2,PCA9615DPJ,U11/U12,IC REDRIVER I2C 2CH 10TSSOP,NXP USA Inc.,PCA9615DPJ ,Digikey,https://www.digikey.com/product-detail/en/nxp-usa-inc/PCA9615DPJ/568-11484-1-ND/4864508,568-11484-1-ND,
1,PCA9685PW/Q900-118,U10,IC LED DRVR LIN DIM 25MA 28TSSOP,NXP USA Inc.,PCA9685PW/Q900-118,Digikey,https://www.digikey.com/product-detail/en/nxp-usa-inc/PCA9685PW-Q900118/568-5931-1-ND/2531218,568-5931-1-ND,
1,PSOC-PROGRAMMER-0022232051,J1,CONN HEADER 5POS .100 VERT TIN,Molex,0022232051,Digikey,https://www.digikey.com/product-detail/en/molex-llc/0022232051/WM4203-ND/26673, WM4203-ND,
1,PSOC4100-CY8C4124PVI-432,U8,IC MCU 32BIT 16KB FLASH 28SSOP,Cypress,CY8C4124PVI-432,Digikey,https://www.digikey.com/product-detail/en/cypress-semiconductor-corp/CY8C4124PVI-432/428-3348-ND/4895074,428-3348-ND,
1,R-78E5.0-1.0,U17,DC/DC CONVERTER 5V 5W,Recom Power,R-78E5.0-1.0,Digikey,https://www.digikey.com/product-detail/en/recom-power/R-78E5.0-1.0/945-2201-ND/4930585,945-2201-ND ,
6,RCD-24-0.70/VREF,U1/U2/U3/U4/U5/U6,LED SUPPLY CC BUCK 2-35V 700MA,Recom Power,RCD-24-0.70/VREF,Digikey,https://www.digikey.com/product-detail/en/recom-power/RCD-24-0.70-VREF/945-1806-5-ND/2613767,945-1806-5-ND,
2,RJ12-RS485-A-2004-1-4-LP-N-R,J5/J6,RJ12 CONN MOD JACK 6P6C R/A UNSHLD,Assmann WSW Components,A-2004-1-4-LP-N-R,Digikey,https://www.digikey.com/product-detail/en/assmann-wsw-components/A-2004-1-4-LP-N-R/AE10383-ND/2183634,AE10383-ND,
2,RJ45-DI2C-USB-54602-908LFPTH,J4/J8,CONN MOD JACK 8P8C R/A UNSHLD,Amphenol FCI,54602-908LF,Digikey,https://www.digikey.com/product-detail/en/amphenol-fci/54602-908LF/609-1046-ND/1001360,609-1046-ND,
1,SMAJ26A-13-F,D7,TVS DIODE 26VWM 42.1VC SMA,Diodes Incorporated,SMAJ26A-13-F,Digikey,https://www.digikey.com/product-detail/en/diodes-incorporated/SMAJ26A-13-F/SMAJ26A-FDICT-ND/806583,SMAJ26A-FDICT-ND,
