Qty,Device,Parts,Description,MANUFACTURER,MPN,VENDOR,VLINK,VPN,
6,0.1UF-C0603C104K5RACTU,C1/C2/C7/C8/C9/C10,CAP CER 0.1UF 50V X7R 0603,Kemet,C0603C104K5RACTU,Digikey,https://www.digikey.com/product-detail/en/kemet/C0603C104K5RACTU/399-5089-1-ND/1465623, 399-5089-1-ND,
1,0OHM-RC0603JR-070RL,R19,RES SMD 0 OHM JUMPER 1/10W 0603,Yageo,RC0603JR-070RL,Digikey,https://www.digikey.com/product-detail/en/yageo/RC0603JR-070RL/311-0.0GRCT-ND/729622,311-0.0GRCT-ND,
2,100OHM-RC0603JR-07100RL,R16/R17,RES SMD 100 OHM 5% 1/10W 0603,Yageo,RC0603JR-07100RL,Digikey,https://www.digikey.com/product-detail/en/yageo/RC0603JR-07100RL/311-100GRCT-ND/729644,311-100GRCT-ND,
2,10K-ERJ-3EKF1002V,R7/R8,RES SMD 10K OHM 1% 1/10W 0603,Panasonic,ERJ-3EKF1002V,Digikey,https://www.digikey.com/product-detail/en/panasonic-electronic-components/ERJ-3EKF1002V/P10.0KHCT-ND/198102,P10.0KHCT-ND,
4,10UF-GMK212BBJ106KG-T,C3/C4/C5/C6,CAP CER 10UF 35V X5R 0805,Taiyo Yuden,GMK212BBJ106KG-T,Digikey,https://www.digikey.com/product-detail/en/taiyo-yuden/GMK212BBJ106KG-T/587-4893-1-ND/6563736,587-4893-1-ND,
4,120OHM-RC0603FR-07120RL,R2/R6/R14/R15,RES SMD 120 OHM 1% 1/10W 0603,Yageo,RC0603FR-07120RL,Digikey,https://www.digikey.com/product-detail/en/yageo/RC0603FR-07120RL/311-120HRCT-ND/729867,311-120HRCT-ND ,
1,1K-ERJ-PB3D1001V,R9,RES SMD 1K OHM 0.5% 1/5W 0603,Panasonic,P20283CT-ND,Digikey,https://www.digikey.com/product-detail/en/panasonic-electronic-components/ERJ-PB3D1001V/P20283CT-ND/6214538, P20283CT-ND,
1,33UH-29333C,L2,FIXED IND 33UH 1A 120 MOHM SMD,Murata Power Solutions Inc.,29333C,Digikey,https://www.digikey.com/product-detail/en/murata-power-solutions-inc/29333C/811-1138-1-ND/1924860,811-1138-1-ND,
1,4.7K-RC1206JR-074K7L,R18,RES SMD 4.7K OHM 5% 1/4W 1206,Yageo,RC1206JR-074K7L,Digikey,https://www.digikey.com/product-detail/en/yageo/RC1206JR-074K7L/311-4.7KERCT-ND/732242,311-4.7KERCT-ND,
2,4.7UF-CL21A475KBQNNNE,C2\1/C11,CAP CER 4.7UF 50V X5R 0805,Samsung,CL21A475KBQNNNE,Digikey,https://www.digikey.com/product-detail/en/samsung-electro-mechanics/CL21A475KBQNNNE/1276-1248-1-ND/3889334, 1276-1248-1-ND,
8,600OHM-RC0603FR-07604RL,R1/R3/R4/R5/R10/R11/R12/R13,RES SMD 604 OHM 1% 1/10W 0603,Yageo,RC0603FR-07604RL,Digikey,https://www.digikey.com/product-detail/en/yageo/RC0603FR-07604RL/311-604HRCT-ND/730276,311-604HRCT-ND,
3,APT1608CGCK,D1/D2/D3,LED GREEN CLEAR 0603 SMD,Kingbright,APT1608CGCK,Digikey,https://www.digikey.com/product-detail/en/kingbright/APT1608CGCK/754-1116-1-ND/1747833#,754-1116-1-ND,
1,CCS811,U6,LOW POWER DIGITAL SENSOR FOR IND,ams,CCS811,Digikey,https://www.digikey.com/product-detail/en/ams/CCS811/CCS811CT-ND/6569300,CCS811CT-ND,
1,HPP845E034R5,U8,SENSOR HUMID/TEMP 3V I2C 3% SMD,TE Connectivity Measurement Specialties,HPP845E034R5,Digikey,https://www.digikey.com/product-detail/en/te-connectivity-measurement-specialties/HPP845E034R5/223-1592-1-ND/5416096,223-1592-1-ND,
1,LM2937IMP-3.3/NOPB,U9,IC REG LIN 3.3V 400MA SOT223-4,Texas Instruments,LM2937IMP-3.3/NOPB,Digikey,https://www.digikey.com/product-detail/en/texas-instruments/LM2937IMP-3.3-NOPB/LM2937IMP-3.3-NOPBCT-ND/270742#, LM2937IMP-3.3/NOPBCT-ND,
2,PCA9615DPJ,U1/U2,IC REDRIVER I2C 2CH 10TSSOP,NXP USA Inc.,PCA9615DPJ ,Digikey,https://www.digikey.com/product-detail/en/nxp-usa-inc/PCA9615DPJ/568-11484-1-ND/4864508,568-11484-1-ND,
1,PHOTONHPHOTONH,U3,Tiny Wi-Fi dev board w/cloud backend,Particle,PHOTONH,Particle,https://store.particle.io/products/photon,PHOTONH,
1,R-78E5.0-1.0,U4,DC/DC CONVERTER 5V 5W,Recom Power,R-78E5.0-1.0,Digikey,https://www.digikey.com/product-detail/en/recom-power/R-78E5.0-1.0/945-2201-ND/4930585,945-2201-ND ,
2,RJ45-DI2C-USB-54602-908LFPTH,J1/J2,CONN MOD JACK 8P8C R/A UNSHLD,Amphenol FCI,54602-908LF,Digikey,https://www.digikey.com/product-detail/en/amphenol-fci/54602-908LF/609-1046-ND/1001360,609-1046-ND,
1,SHT25,U5,SENSOR HUMI/TEMP 3V I2C 1.8% SMD,Sensirion AG,SHT25,Digikey,https://www.digikey.com/product-detail/en/sensirion-ag/SHT25/1649-1008-1-ND/5872290,1649-1008-1-ND,
1,T6713-5K,U7,CO2 MODULE 5000PPM DIFFUSION,Amphenol Advanced Sensors,T6713-5K,Digikey,https://www.digikey.com/product-detail/en/amphenol-advanced-sensors/T6713-5K/235-1374-ND/5027892,235-1374-ND,
