Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	dGMaxMin	CriteriaType	CriteriaVarType	CriteriaPercentage
29	33	0	0.399449446	0.05	0.05	0.05	0.05	6.9388939e-018	0	0	0	0	0	3
30	34	0	0.413223565	0.05	0.05	0.05	0.05	6.9388939e-018	0	0	0	0	0	3
31	36	0	0.426997684	0.05	0.05	0.05	0.05	6.9388939e-018	0	0	0	0	0	3
32	37	0	0.440771803	0.05	0.05	0.05	0.05	6.9388939e-018	0	0	0	0	0	3
33	38	0	0.454545922	0.05	0.05	0.05	0.05	6.9388939e-018	0	0	0	0	0	3
34	39	0	0.468320041	0.05	0.05	0.05	0.05	6.9388939e-018	0	0	0	0	0	3
35	40	0	0.48209416	0.05	0.05	0.05	0.05	6.9388939e-018	0	0	0	0	0	3
36	41	0	0.495868278	0.05	0.05	0.05	0.05	6.9388939e-018	0	0	0	0	0	3
37	42	0	0.509642397	0.05	0.05	0.05	0.05	6.9388939e-018	0	0	0	0	0	3
38	44	0	0.523416516	0.05	0.05	0.05	0.05	6.9388939e-018	0	0	0	0	0	3
39	45	0	0.537190635	0.05	0.05	0.05	0.05	6.9388939e-018	0	0	0	0	0	3
40	46	0	0.550964754	0.05	0.05	0.05	0.05	6.9388939e-018	0	0	0	0	0	3
41	47	0	0.564738873	0.05	0.05	0.05	0.05	6.9388939e-018	0	0	0	0	0	3
42	48	0	0.578512991	0.05	0.05	0.05	0.05	6.9388939e-018	0	0	0	0	0	3
43	49	0	0.59228711	0.05	0.05	0.05	0.05	6.9388939e-018	0	0	0	0	0	3
44	50	0	0.606061229	0.05	0.05	0.05	0.05	6.9388939e-018	0	0	0	0	0	3
45	51	0	0.619835348	0.05	0.05	0.05	0.05	6.9388939e-018	0	0	0	0	0	3
46	52	0	0.633609467	0.05	0.05	0.05	0.05	6.9388939e-018	0	0	0	0	0	3
47	54	0	0.647383586	0.05	0.05	0.05	0.05	6.9388939e-018	0	0	0	0	0	3
48	55	0	0.661157704	0.05	0.05	0.05	0.05	1.38777878e-017	0	0	0	0	0	3
49	56	0	0.674931823	0.05	0.05	0.05	0.05	1.38777878e-017	0	0	0	0	0	3
50	57	0	0.688705942	0.05	0.05	0.05	0.05	1.38777878e-017	0	0	0	0	0	3
51	58	0	0.702480061	0.05	0.05	0.05	0.05	1.38777878e-017	0	0	0	0	0	3
52	59	0	0.71625418	0.05	0.05	0.05	0.05	1.38777878e-017	0	0	0	0	0	3
53	60	0	0.730028299	0.05	0.05	0.05	0.05	1.38777878e-017	0	0	0	0	0	3
54	61	0	0.743802418	0.05	0.05	0.05	0.05	1.38777878e-017	0	0	0	0	0	3
55	62	0	0.757576536	0.05	0.05	0.05	0.05	1.38777878e-017	0	0	0	0	0	3
56	63	0	0.771350655	0.05	0.05	0.05	0.05	1.38777878e-017	0	0	0	0	0	3
57	64	0	0.785124774	0.05	0.05	0.05	0.05	1.38777878e-017	0	0	0	0	0	3
58	66	0	0.798898893	0.05	0.05	0.05	0.05	1.38777878e-017	0	0	0	0	0	3
59	67	0	0.812673012	0.05	0.05	0.05	0.05	1.38777878e-017	0	0	0	0	0	3
60	68	0	0.826447131	0.05	0.05	0.05	0.05	1.38777878e-017	0	0	0	0	0	3
61	69	0	0.840221249	0.05	0.05	0.05	0.05	1.38777878e-017	0	0	0	0	0	3
62	70	0	0.853995368	0.05	0.05	0.05	0.05	1.38777878e-017	0	0	0	0	0	3
63	71	0	0.867769487	0.05	0.05	0.05	0.05	1.38777878e-017	0	0	0	0	0	3
64	72	0	0.881543606	0.05	0.05	0.05	0.05	6.9388939e-018	0	0	0	0	0	3
65	73	0	0.895317725	0.05	0.05	0.05	0.05	6.9388939e-018	0	0	0	0	0	3
66	74	0	0.909091844	0.05	0.05	0.05	0.05	6.9388939e-018	0	0	0	0	0	3
67	75	0	0.922865962	0.05	0.05	0.05	0.05	6.9388939e-018	0	0	0	0	0	3
68	77	0	0.936640081	0.05	0.05	0.05	0.05	6.9388939e-018	0	0	0	0	0	3
69	78	0	0.9504142	0.05	0.05	0.05	0.05	6.9388939e-018	0	0	0	0	0	3
70	79	0	0.964188319	0.05	0.05	0.05	0.05	6.9388939e-018	0	0	0	0	0	3
71	80	0	0.977962438	0.05	0.05	0.05	0.05	6.9388939e-018	0	0	0	0	0	3
72	81	0	0.991736557	0.05	0.05	0.05	0.05	6.9388939e-018	0	0	0	0	0	3
73	82	0	1.00551068	0.05	0.05	0.05	0.05	6.9388939e-018	0.0005	100	0	0	0	3
74	83	0	1.01928479	0.05	0.05	0.05	0.05	6.9388939e-018	0.0005	100	0	0	0	3
75	84	0	1.03305891	0.05	0.05	0.05	0.05	6.9388939e-018	0.0005	100	0	0	0	3
76	85	0	1.04683303	0.05	0.05	0.05	0.05	6.9388939e-018	0.0005	100	0	0	0	3
77	86	0	1.06060715	0.05	0.05	0.05	0.05	6.9388939e-018	0.0005	100	0	0	0	3
78	87	0	1.07438127	0.05	0.05	0.05	0.05	6.9388939e-018	0.0005	100	0	0	0	3
79	88	0	1.08815539	0.05	0.05	0.05	0.05	6.9388939e-018	0.0005	100	0	0	0	3
80	90	0	1.10192951	0.05	0.05	0.05	0.05	6.9388939e-018	0.0005	100	0	0	0	3
81	91	0	1.11570363	0.05	0.05	0.05	0.05	6.9388939e-018	0.0005	100	0	0	0	3
82	92	0	1.12947775	0.05	0.05	0.05	0.05	6.9388939e-018	0.0005	100	0	0	0	3
83	93	0	1.14325186	0.05	0.05	0.05	0.05	6.9388939e-018	0.0005	100	0	0	0	3
84	94	0	1.15702598	0.05	0.05	0.05	0.05	6.9388939e-018	0.0005	100	0	0	0	3
85	95	0	1.1708001	0.05	0.05	0.05	0.05	6.9388939e-018	0.0005	100	0	0	0	3
86	96	0	1.18457422	0.05	0.05	0.05	0.05	6.9388939e-018	0.0005	100	0	0	0	3
87	97	0	1.19834834	0.05	0.05	0.05	0.05	6.9388939e-018	0.0005	100	0	0	0	3
88	98	0	1.21212246	0.05	0.05	0.05	0.05	0	0.0005	100	0	0	0	3
89	100	0	1.22589658	0.05	0.05	0.05	0.05	0	0.0005	100	0	0	0	3
90	101	0	1.2396707	0.05	0.05	0.05	0.05	0	0.0005	100	0	0	0	3
91	102	0	1.25344481	0.05	0.05	0.05	0.05	0	0.0005	100	0	0	0	3
92	103	0	1.26721893	0.05	0.05	0.05	0.05	0	0.0005	100	0	0	0	3
93	105	0	1.28099305	0.05	0.05	0.05	0.05	0	0.0005	100	0	0	0	3
94	106	0	1.29476717	0.05	0.05	0.05	0.05	0	0.0005	100	0	0	0	3
95	107	0	1.30854129	0.05	0.05	0.05	0.05	0	0.0005	100	0	0	0	3
96	109	0	1.32231541	0.05	0.05	0.05	0.05	0	0.0005	100	0	0	0	3
97	110	0	1.33608953	0.05	0.05	0.05	0.05	0	0.0005	100	0	0	0	3
98	111	0	1.34986365	0.05	0.05	0.05	0.05	0	0.0005	100	0	0	0	3
99	113	0	1.36363777	0.05	0.05	0.05	0.05	0	0.0005	100	0	0	0	3
100	114	0	1.37741188	0.05	0.05	0.05	0.05	0	0.0005	100	0	0	0	3
101	116	0	1.391186	0.05	0.05	0.05	0.05	0	0.0005	100	0	0	0	3
102	117	0	1.40496012	0.05	0.05	0.05	0.05	0	0.0005	100	0	0	0	3
103	118	0	1.41873424	0.05	0.05	0.05	0.05	0	0.0005	100	0	0	0	3
104	120	0	1.43250836	0.05	0.05	0.05	0.05	0	0.0005	100	0	0	0	3
105	121	0	1.44628248	0.05	0.05	0.05	0.05	0	0.0005	100	0	0	0	3
106	122	0	1.4600566	0.05	0.05	0.05	0.05	0	0.0005	100	0	0	0	3
107	123	0	1.47383072	0.05	0.05	0.05	0.05	0	0.0005	100	0	0	0	3
108	125	0	1.48760484	0.05	0.05	0.05	0.05	0	0.0005	100	0	0	0	3
