Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	dGMaxMin	CriteriaType	CriteriaVarType	CriteriaPercentage
1	3	0	0.0137741188	101338.096	101338.096	101338.096	101338.096	0	0	0	7314.19	0	0	3
2	4	0	0.0275482377	101332.92	101335.508	101332.92	101338.096	2.58782065	0	0	6897.01	0	0	3
3	6	0	0.0413223565	101332.55	101334.522	101332.55	101338.096	3.57382704	0	0	7320.58	0	0	3
4	7	0	0.0550964754	101331.953	101333.88	101331.953	101338.096	4.21613241	0	0	6442.65	0	0	3
5	8	0	0.0688705942	101332.312	101333.566	101331.953	101338.096	4.52968079	0	0	5229.31	0	0	3
6	9	0	0.0826447131	101332.326	101333.36	101331.953	101338.096	4.73640899	0	0	4298.23	0	0	3
7	10	0	0.0964188319	101332.642	101333.257	101331.953	101338.096	4.83893532	0	0	3709.09	0	0	3
8	11	0	0.110192951	101332.862	101333.208	101331.953	101338.096	4.88836171	0	0	3376.57	0	0	3
9	12	0	0.12396707	101333.168	101333.203	101331.953	101338.096	4.89282996	0	0	3478.3	0	0	3
10	13	0	0.137741188	101333.332	101333.216	101331.953	101338.096	4.89282996	0	0	3581.38	0	0	3
11	14	0	0.151515307	101333.496	101333.242	101331.953	101338.096	4.89282996	0	0	3587.72	0	0	3
12	15	0	0.165289426	101333.484	101333.262	101331.953	101338.096	4.89282996	0	0	3603.94	0	0	3
13	16	0	0.179063545	101333.536	101333.283	101331.953	101338.096	4.89282996	0	0	3616.69	0	0	3
14	17	0	0.192837664	101333.552	101333.302	101331.953	101338.096	4.89282996	0	0	3644.86	0	0	3
15	18	0	0.206611783	101333.59	101333.321	101331.953	101338.096	4.89282996	0	0	3648.72	0	0	3
16	19	0	0.220385901	101333.569	101333.337	101331.953	101338.096	4.89282996	0	0	3647.05	0	0	3
17	21	0	0.23416002	101333.565	101333.35	101331.953	101338.096	4.89282996	0	0	3604.77	0	0	3
18	22	0	0.247934139	101333.553	101333.361	101331.953	101338.096	4.89282996	0	0	3591.79	0	0	3
19	23	0	0.261708258	101333.51	101333.369	101331.953	101338.096	4.89282996	0	0	3598.92	0	0	3
20	24	0	0.275482377	101333.478	101333.375	101331.953	101338.096	4.89282996	0	0	3564.9	0	0	3
21	25	0	0.289256496	101333.497	101333.381	101331.953	101338.096	4.89282996	0	0	3584.35	0	0	3
22	26	0	0.303030615	101333.471	101333.385	101331.953	101338.096	4.89282996	0	0	3568.78	0	0	3
23	27	0	0.316804733	101333.519	101333.39	101331.953	101338.096	4.89282996	0	0	3583.63	0	0	3
24	28	0	0.330578852	101333.565	101333.398	101331.953	101338.096	4.89282996	0	0	3596.53	0	0	3
25	29	0	0.344352971	101333.63	101333.407	101331.953	101338.096	4.89282996	0	0	3609.93	0	0	3
26	30	0	0.35812709	101333.667	101333.417	101331.953	101338.096	4.89282996	0	0	3620.48	0	0	3
27	31	0	0.371901209	101333.669	101333.426	101331.953	101338.096	4.89282996	0	0	3623.7	0	0	3
28	32	0	0.385675328	101333.656	101333.435	101331.953	101338.096	4.89282996	0	0	3628.13	0	0	3
29	33	0	0.399449446	101333.633	101333.441	101331.953	101338.096	4.89282996	0	0	3628.59	0	0	3
30	34	0	0.413223565	101333.622	101333.447	101331.953	101338.096	4.89282996	0	0	3626.3	0	0	3
31	36	0	0.426997684	101333.61	101333.453	101331.953	101338.096	4.89282996	0	0	3629.92	0	0	3
32	37	0	0.440771803	101333.602	101333.457	101331.953	101338.096	4.89282996	0	0	3634.66	0	0	3
33	38	0	0.454545922	101333.597	101333.462	101331.953	101338.096	4.89282996	0	0	3631.22	0	0	3
34	39	0	0.468320041	101333.604	101333.466	101331.953	101338.096	4.89282996	0	0	3614.32	0	0	3
35	40	0	0.48209416	101333.608	101333.47	101331.953	101338.096	4.89282996	0	0	3613.63	0	0	3
36	41	0	0.495868278	101333.612	101333.474	101331.953	101338.096	4.89282996	0	0	3639.56	0	0	3
37	42	0	0.509642397	101333.601	101333.477	101331.953	101338.096	4.89282996	0	0	3640.17	0	0	3
38	44	0	0.523416516	101333.604	101333.356	101331.953	101333.669	1.71587602	0	0	3635.33	0	0	3
39	45	0	0.537190635	101333.607	101333.374	101331.953	101333.669	1.31900292	0	0	3634.75	0	0	3
40	46	0	0.550964754	101333.607	101333.403	101331.953	101333.669	0.67669755	0	0	3652.52	0	0	3
41	47	0	0.564738873	101333.604	101333.448	101332.312	101333.669	0.363149169	0	0	3644.87	0	0	3
42	48	0	0.578512991	101333.607	101333.483	101332.326	101333.669	0.279259107	0	0	3642.06	0	0	3
43	49	0	0.59228711	101333.61	101333.517	101332.642	101333.669	0.313954103	0	0	3652.1	0	0	3
44	50	0	0.606061229	101333.607	101333.543	101332.862	101333.669	0.340032457	0	0	3657.96	0	0	3
45	51	0	0.619835348	101333.606	101333.563	101333.168	101333.669	0.360154071	0	0	3650.66	0	0	3
46	52	0	0.633609467	101333.61	101333.575	101333.332	101333.669	0.33731245	0	0	3655.38	0	0	3
47	54	0	0.647383586	101333.614	101333.583	101333.471	101333.669	0.198212468	0	0	3650.44	0	0	3
48	55	0	0.661157704	101333.618	101333.586	101333.471	101333.669	0.198212468	0	0	3645.31	0	0	3
49	56	0	0.674931823	101333.623	101333.59	101333.471	101333.669	0.198212468	0	0	3659.62	0	0	3
