Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	dGMaxMin	CriteriaType	CriteriaVarType	CriteriaPercentage
1	3	0	0.0137741188	293.199997	293.199997	293.199997	293.199997	0	0	0	1.35922	0	0	3
2	4	0	0.0275482377	293.199997	293.199997	293.199997	293.199997	5.20686854e-008	0	0	1.53901	0	0	3
3	6	0	0.0413223565	293.199996	293.199997	293.199996	293.199997	1.8925374e-007	0	0	1.42884	0	0	3
4	7	0	0.0550964754	293.199996	293.199997	293.199996	293.199997	2.89395871e-007	0	0	1.69162	0	0	3
5	8	0	0.0688705942	293.199996	293.199996	293.199996	293.199997	4.48145897e-007	0	0	1.95598	0	0	3
6	9	0	0.0826447131	293.199995	293.199996	293.199995	293.199997	6.97659118e-007	0	0	2.28638	0	0	3
7	10	0	0.0964188319	293.199994	293.199996	293.199994	293.199997	1.06906265e-006	0	0	2.47339	0	0	3
8	11	0	0.110192951	293.199993	293.199995	293.199993	293.199997	1.43632508e-006	0	0	2.57916	0	0	3
9	12	0	0.12396707	293.199991	293.199995	293.199991	293.199997	1.88382376e-006	0	0	2.63736	0	0	3
10	13	0	0.137741188	293.199991	293.199995	293.199991	293.199997	2.31006089e-006	0	0	2.6217	0	0	3
11	14	0	0.151515307	293.19999	293.199994	293.19999	293.199997	2.7611631e-006	0	0	2.63077	0	0	3
12	15	0	0.165289426	293.199989	293.199994	293.199989	293.199997	3.17006368e-006	0	0	2.76205	0	0	3
13	16	0	0.179063545	293.199988	293.199993	293.199988	293.199997	3.59885041e-006	0	0	2.79063	0	0	3
14	17	0	0.192837664	293.199988	293.199993	293.199988	293.199997	4.00434209e-006	0	0	2.7197	0	0	3
15	18	0	0.206611783	293.199987	293.199993	293.199987	293.199997	4.40335577e-006	0	0	2.69879	0	0	3
16	19	0	0.220385901	293.199987	293.199992	293.199987	293.199997	4.75772896e-006	0	0	2.76201	0	0	3
17	21	0	0.23416002	293.199987	293.199992	293.199987	293.199997	5.04744469e-006	0	0	2.70124	0	0	3
