Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	dGMaxMin	CriteriaType	CriteriaVarType	CriteriaPercentage
1	2	0	0.0145244945	293.2	293.2	293.2	293.2	0	0	0	1.4883e-006	0	0	3
2	3	0	0.029048989	293.2	293.2	293.2	293.2	6.74162948e-011	0	0	1.47802e-006	0	0	3
3	4	0	0.0435734835	293.2	293.2	293.2	293.2	1.34093625e-010	0	0	1.38667e-006	0	0	3
4	5	0	0.058097978	293.2	293.2	293.2	293.2	1.98269845e-010	0	0	1.39709e-006	0	0	3
5	6	0	0.0726224725	293.2	293.2	293.2	293.2	2.58978616e-010	0	0	1.45757e-006	0	0	3
6	7	0	0.0871469671	293.2	293.2	293.2	293.2	3.18664206e-010	0	0	1.54047e-006	0	0	3
7	8	0	0.101671462	293.2	293.2	293.2	293.2	3.75905529e-010	0	0	1.60741e-006	0	0	3
8	9	0	0.116195956	293.2	293.2	293.2	293.2	4.29508873e-010	0	0	1.67357e-006	0	0	3
9	10	0	0.130720451	293.2	293.2	293.2	293.2	4.7867843e-010	0	0	1.76564e-006	0	0	3
10	11	0	0.145244945	293.2	293.2	293.2	293.2	5.23357357e-010	0	0	1.84994e-006	0	0	3
11	12	0	0.15976944	293.2	293.2	293.2	293.2	5.63090907e-010	0	0	1.93673e-006	0	0	3
12	13	0	0.174293934	293.2	293.2	293.2	293.2	5.9839067e-010	0	0	2.01271e-006	0	0	3
13	14	0	0.188818429	293.2	293.2	293.2	293.2	6.29597707e-010	0	0	2.09029e-006	0	0	3
14	15	0	0.203342923	293.2	293.2	293.2	293.2	6.57166765e-010	0	0	2.13989e-006	0	0	3
15	16	0	0.217867418	293.2	293.2	293.2	293.2	6.81438905e-010	0	0	2.1737e-006	0	0	3
16	17	0	0.232391912	293.2	293.2	293.2	293.2	7.02243597e-010	0	0	2.19665e-006	0	0	3
17	18	0	0.246916407	293.2	293.2	293.2	293.2	7.20149274e-010	0	0	2.20491e-006	0	0	3
