Iteration	CPUTime	PhysTime	Travels	CourFact
1	2	0	0.0145244945	0
2	3	0	0.029048989	0
3	4	0	0.0435734835	0
4	5	0	0.058097978	0
5	6	0	0.0726224725	0
6	7	0	0.0871469671	0
7	8	0	0.101671462	0
8	9	0	0.116195956	0
9	10	0	0.130720451	0
10	11	0	0.145244945	0
11	12	0	0.15976944	0
12	13	0	0.174293934	0
13	14	0	0.188818429	0
14	15	0	0.203342923	0
15	16	0	0.217867418	0
16	17	0	0.232391912	0
17	18	0	0.246916407	0
18	19	0	0.261440901	0
19	19	0	0.275965396	0
20	20	0	0.29048989	0
21	21	0	0.305014385	0
22	23	0	0.319538879	0
23	24	0	0.334063374	0
24	24	0	0.348587868	0
25	25	0	0.363112363	0
26	26	0	0.377636857	0
27	27	0	0.392161352	0
28	28	0	0.406685846	0
29	29	0	0.421210341	0
30	30	0	0.435734835	0
31	31	0	0.45025933	0
32	32	0	0.464783824	0
33	33	0	0.479308319	0
34	34	0	0.493832813	0
35	35	0	0.508357308	0
36	36	0	0.522881802	0
37	37	0	0.537406297	0
38	38	0	0.551930791	0
39	39	0	0.566455286	0
40	40	0	0.58097978	0
41	41	0	0.595504275	0
42	42	0	0.610028769	0
43	43	0	0.624553264	0
44	43	0	0.639077758	0
45	44	0	0.653602253	0
46	45	0	0.668126747	0
47	46	0	0.682651242	0
48	47	0	0.697175736	0
49	48	0	0.711700231	0
50	49	0	0.726224725	0
51	50	0	0.74074922	0
52	51	0	0.755273714	0
53	52	0	0.769798209	0
54	53	0	0.784322703	0
55	54	0	0.798847198	0
56	55	0	0.813371692	0
57	57	0	0.827896187	0
58	58	0	0.842420682	0
59	59	0	0.856945176	0
60	60	0	0.871469671	0
61	61	0	0.885994165	0
62	62	0	0.90051866	0
63	63	0	0.915043154	0
64	65	0	0.929567649	0
65	66	0	0.944092143	0
66	67	0	0.958616638	0
67	68	0	0.973141132	0
68	69	0	0.987665627	0
69	70	0	1.00219012	0
