Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	dGMaxMin	CriteriaType	CriteriaVarType	CriteriaPercentage
1	2	0	0.0145244945	101325	101325	101325	101325	0	0	0	0.0237655	0	0	3
2	3	0	0.029048989	101325	101325	101325	101325	4.35502443e-006	0	0	0.00584733	0	0	3
3	4	0	0.0435734835	101325	101325	101325	101325	6.01311331e-006	0	0	0.00454507	0	0	3
4	5	0	0.058097978	101325	101325	101325	101325	6.93179027e-006	0	0	0.00360239	0	0	3
5	6	0	0.0726224725	101325	101325	101325	101325	7.45343277e-006	0	0	0.00396768	0	0	3
6	7	0	0.0871469671	101325	101325	101325	101325	7.81162817e-006	0	0	0.00366212	0	0	3
7	8	0	0.101671462	101325	101325	101325	101325	8.06045136e-006	0	0	0.00377801	0	0	3
8	9	0	0.116195956	101325	101325	101325	101325	8.24332528e-006	0	0	0.00369821	0	0	3
9	10	0	0.130720451	101325	101325	101325	101325	8.38103006e-006	0	0	0.00372782	0	0	3
10	11	0	0.145244945	101325	101325	101325	101325	8.48855416e-006	0	0	0.00362634	0	0	3
11	12	0	0.15976944	101325	101325	101325	101325	8.57583655e-006	0	0	0.00362791	0	0	3
12	13	0	0.174293934	101325	101325	101325	101325	8.64743197e-006	0	0	0.00356809	0	0	3
13	14	0	0.188818429	101325	101325	101325	101325	8.70751683e-006	0	0	0.00359905	0	0	3
14	15	0	0.203342923	101325	101325	101325	101325	8.75953992e-006	0	0	0.00354845	0	0	3
15	16	0	0.217867418	101325	101325	101325	101325	8.8053348e-006	0	0	0.00358182	0	0	3
16	17	0	0.232391912	101325	101325	101325	101325	8.84693873e-006	0	0	0.00353517	0	0	3
17	18	0	0.246916407	101325	101325	101325	101325	8.88516661e-006	0	0	0.00354985	0	0	3
18	19	0	0.261440901	101325	101325	101325	101325	8.92071694e-006	0	0	0.00351218	0	0	3
19	19	0	0.275965396	101325	101325	101325	101325	8.95370613e-006	0	0	0.00353483	0	0	3
20	20	0	0.29048989	101325	101325	101325	101325	8.98478902e-006	0	0	0.00350564	0	0	3
21	21	0	0.305014385	101325	101325	101325	101325	9.01476596e-006	0	0	0.00352529	0	0	3
22	23	0	0.319538879	101325	101325	101325	101325	9.04381159e-006	0	0	0.00350998	0	0	3
23	24	0	0.334063374	101325	101325	101325	101325	9.0712274e-006	0	0	0.00352972	0	0	3
24	24	0	0.348587868	101325	101325	101325	101325	9.09541268e-006	0	0	0.00351599	0	0	3
25	25	0	0.363112363	101325	101325	101325	101325	9.11418465e-006	0	0	0.00353415	0	0	3
26	26	0	0.377636857	101325	101325	101325	101325	9.12541873e-006	0	0	0.00352436	0	0	3
27	27	0	0.392161352	101325	101325	101325	101325	9.13036638e-006	0	0	0.00353418	0	0	3
28	28	0	0.406685846	101325	101325	101325	101325	9.13346594e-006	0	0	0.00352516	0	0	3
29	29	0	0.421210341	101325	101325	101325	101325	9.13707481e-006	0	0	0.00353511	0	0	3
30	30	0	0.435734835	101325	101325	101325	101325	9.14162956e-006	0	0	0.00352759	0	0	3
31	31	0	0.45025933	101325	101325	101325	101325	9.14692646e-006	0	0	0.0035336	0	0	3
32	32	0	0.464783824	101325	101325	101325	101325	9.15245619e-006	0	0	0.00352965	0	0	3
33	33	0	0.479308319	101325	101325	101325	101325	9.15792771e-006	0	0	0.00353506	0	0	3
34	34	0	0.493832813	101325	101325	101325	101325	9.1631955e-006	0	0	0.00353131	0	0	3
35	35	0	0.508357308	101325	101325	101325	101325	9.16825957e-006	0	0	0.00353638	0	0	3
36	36	0	0.522881802	101325	101325	101325	101325	9.77845048e-007	0	0	0.00353381	0	0	3
37	37	0	0.537406297	101325	101325	101325	101325	4.70943633e-007	0	0	0.0035363	0	0	3
38	38	0	0.551930791	101325	101325	101325	101325	4.70943633e-007	0	0	0.00353411	0	0	3
39	39	0	0.566455286	101325	101325	101325	101325	4.57177521e-007	0	0	0.00353672	0	0	3
40	40	0	0.58097978	101325	101325	101325	101325	4.57177521e-007	0	0	0.00353453	0	0	3
41	41	0	0.595504275	101325	101325	101325	101325	4.57177521e-007	0	0	0.00353604	0	0	3
42	42	0	0.610028769	101325	101325	101325	101325	4.57177521e-007	0	0	0.00353492	0	0	3
43	43	0	0.624553264	101325	101325	101325	101325	4.57177521e-007	0	0	0.00353629	0	0	3
44	43	0	0.639077758	101325	101325	101325	101325	4.57177521e-007	0	0	0.00353532	0	0	3
45	44	0	0.653602253	101325	101325	101325	101325	4.57177521e-007	0	0	0.00353673	0	0	3
