Qty,Device,Parts,Description,MANUFACTURER,MPN,VENDOR,VLINK,VPN,
1,0.1UF-C0603C104K5RACTU,C6,CAP CER 0.1UF 50V X7R 0603,Kemet,C0603C104K5RACTU,Digikey,https://www.digikey.com/product-detail/en/kemet/C0603C104K5RACTU/399-5089-1-ND/1465623, 399-5089-1-ND,
2,100OHM-RC0603JR-07100RL,R1/R4,RES SMD 100 OHM 5% 1/10W 0603,Yageo,RC0603JR-07100RL,Digikey,https://www.digikey.com/product-detail/en/yageo/RC0603JR-07100RL/311-100GRCT-ND/729644,311-100GRCT-ND,
2,10K-ERJ-3EKF1002V,R20/R21,RES SMD 10K OHM 1% 1/10W 0603,Panasonic,ERJ-3EKF1002V,Digikey,https://www.digikey.com/product-detail/en/panasonic-electronic-components/ERJ-3EKF1002V/P10.0KHCT-ND/198102,P10.0KHCT-ND,
4,10UF-GMK212BBJ106KG-T,C1/C2/C3/C9,CAP CER 10UF 35V X5R 0805,Taiyo Yuden,GMK212BBJ106KG-T,Digikey,https://www.digikey.com/product-detail/en/taiyo-yuden/GMK212BBJ106KG-T/587-4893-1-ND/6563736,587-4893-1-ND,
4,120OHM-RC0603FR-07120RL,R8/R9/R14/R19,RES SMD 120 OHM 1% 1/10W 0603,Yageo,RC0603FR-07120RL,Digikey,https://www.digikey.com/product-detail/en/yageo/RC0603FR-07120RL/311-120HRCT-ND/729867,311-120HRCT-ND ,
1,1K-ERJ-PB3D1001V,R3,RES SMD 1K OHM 0.5% 1/5W 0603,Panasonic,P20283CT-ND,Digikey,https://www.digikey.com/product-detail/en/panasonic-electronic-components/ERJ-PB3D1001V/P20283CT-ND/6214538, P20283CT-ND,
1,33UH-29333C,L1,FIXED IND 33UH 1A 120 MOHM SMD,Murata Power Solutions Inc.,29333C,Digikey,https://www.digikey.com/product-detail/en/murata-power-solutions-inc/29333C/811-1138-1-ND/1924860,811-1138-1-ND,
8,600OHM-RC0603FR-07604RL,R2/R5/R6/R7/R13/R15/R16/R17,RES SMD 604 OHM 1% 1/10W 0603,Yageo,RC0603FR-07604RL,Digikey,https://www.digikey.com/product-detail/en/yageo/RC0603FR-07604RL/311-604HRCT-ND/730276,311-604HRCT-ND,
3,APT1608CGCK,D2/D3/D4,LED GREEN CLEAR 0603 SMD,Kingbright,APT1608CGCK,Digikey,https://www.digikey.com/product-detail/en/kingbright/APT1608CGCK/754-1116-1-ND/1747833#,754-1116-1-ND,
1,LM2937IMP-3.3/NOPB,U4,IC REG LIN 3.3V 400MA SOT223-4,Texas Instruments,LM2937IMP-3.3/NOPB,Digikey,https://www.digikey.com/product-detail/en/texas-instruments/LM2937IMP-3.3-NOPB/LM2937IMP-3.3-NOPBCT-ND/270742#, LM2937IMP-3.3/NOPBCT-ND,
2,PCA9615DPJ,U2/U5,IC REDRIVER I2C 2CH 10TSSOP,NXP USA Inc.,PCA9615DPJ ,Digikey,https://www.digikey.com/product-detail/en/nxp-usa-inc/PCA9615DPJ/568-11484-1-ND/4864508,568-11484-1-ND,
1,R-78E5.0-1.0,U1,DC/DC CONVERTER 5V 5W,Recom Power,R-78E5.0-1.0,Digikey,https://www.digikey.com/product-detail/en/recom-power/R-78E5.0-1.0/945-2201-ND/4930585,945-2201-ND ,
2,RJ12-I2C-A-2004-1-4-LP-N-R,J2/J4,CONN MOD JACK 6P6C R/A UNSHLD,Assmann WSW Components,A-2004-1-4-LP-N-R,Digikey,https://www.digikey.com/product-detail/en/assmann-wsw-components/A-2004-1-4-LP-N-R/AE10383-ND/2183634,AE10383-ND,
2,RJ45-DI2C-USB-54602-908LFPTH,J1/J3,CONN MOD JACK 8P8C R/A UNSHLD,Amphenol FCI,54602-908LF,Digikey,https://www.digikey.com/product-detail/en/amphenol-fci/54602-908LF/609-1046-ND/1001360,609-1046-ND,
